[Current] DELIVERY - Takes(s): 9.4, Count: 14, TPM: 89.5, Sum(ms): 5475.6, Avg(ms): 391.3, 50th(ms): 352.3, 90th(ms): 453.0, 95th(ms): 453.0, 99th(ms): 805.3, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 208, TPM: 1256.8, Sum(ms): 16396.0, Avg(ms): 78.7, 50th(ms): 67.1, 90th(ms): 130.0, 95th(ms): 176.2, 99th(ms): 226.5, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] ORDER_STATUS - Takes(s): 7.5, Count: 14, TPM: 112.0, Sum(ms): 40.0, Avg(ms): 2.8, 50th(ms): 2.6, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 209, TPM: 1258.3, Sum(ms): 17553.9, Avg(ms): 84.1, 50th(ms): 71.3, 90th(ms): 130.0, 95th(ms): 201.3, 99th(ms): 318.8, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 11, TPM: 69.9, Sum(ms): 41.9, Avg(ms): 3.8, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] DELIVERY - Takes(s): 9.3, Count: 25, TPM: 161.3, Sum(ms): 11413.8, Avg(ms): 456.7, 50th(ms): 352.3, 90th(ms): 637.5, 95th(ms): 738.2, 99th(ms): 906.0, 99.9th(ms): 906.0, Max(ms): 906.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 177, TPM: 1062.6, Sum(ms): 13292.1, Avg(ms): 75.3, 50th(ms): 65.0, 90th(ms): 92.3, 95th(ms): 159.4, 99th(ms): 201.3, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 8.4, Count: 17, TPM: 121.8, Sum(ms): 52.0, Avg(ms): 3.1, 50th(ms): 3.7, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] PAYMENT - Takes(s): 10.0, Count: 170, TPM: 1021.5, Sum(ms): 14778.7, Avg(ms): 87.1, 50th(ms): 71.3, 90th(ms): 142.6, 95th(ms): 209.7, 99th(ms): 268.4, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 14, TPM: 86.6, Sum(ms): 56.1, Avg(ms): 4.0, 50th(ms): 3.7, 90th(ms): 6.8, 95th(ms): 6.8, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] DELIVERY - Takes(s): 9.8, Count: 21, TPM: 128.4, Sum(ms): 7840.1, Avg(ms): 371.9, 50th(ms): 352.3, 90th(ms): 453.0, 95th(ms): 453.0, 99th(ms): 520.1, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 221, TPM: 1332.0, Sum(ms): 17795.2, Avg(ms): 80.7, 50th(ms): 67.1, 90th(ms): 134.2, 95th(ms): 176.2, 99th(ms): 243.3, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 17, TPM: 108.4, Sum(ms): 47.9, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 183, TPM: 1102.9, Sum(ms): 14392.7, Avg(ms): 78.6, 50th(ms): 71.3, 90th(ms): 113.2, 95th(ms): 142.6, 99th(ms): 243.3, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 14, TPM: 85.6, Sum(ms): 51.7, Avg(ms): 3.7, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 10.0, Count: 20, TPM: 120.2, Sum(ms): 8489.3, Avg(ms): 426.1, 50th(ms): 369.1, 90th(ms): 637.5, 95th(ms): 671.1, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 223, TPM: 1338.2, Sum(ms): 16200.1, Avg(ms): 72.7, 50th(ms): 65.0, 90th(ms): 79.7, 95th(ms): 125.8, 99th(ms): 302.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 15, TPM: 91.8, Sum(ms): 41.8, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 9.9, Count: 189, TPM: 1140.8, Sum(ms): 15123.5, Avg(ms): 80.1, 50th(ms): 71.3, 90th(ms): 100.7, 95th(ms): 159.4, 99th(ms): 302.0, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 22, TPM: 138.6, Sum(ms): 83.5, Avg(ms): 3.8, 50th(ms): 3.7, 90th(ms): 4.7, 95th(ms): 4.7, 99th(ms): 7.3, 99.9th(ms): 7.3, Max(ms): 7.3
[Current] DELIVERY - Takes(s): 9.8, Count: 23, TPM: 140.2, Sum(ms): 9197.5, Avg(ms): 399.4, 50th(ms): 352.3, 90th(ms): 536.9, 95th(ms): 738.2, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 9.8, Count: 182, TPM: 1109.6, Sum(ms): 15194.8, Avg(ms): 83.5, 50th(ms): 65.0, 90th(ms): 113.2, 95th(ms): 226.5, 99th(ms): 369.1, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 19, TPM: 117.5, Sum(ms): 53.9, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 198, TPM: 1188.6, Sum(ms): 15292.6, Avg(ms): 77.3, 50th(ms): 71.3, 90th(ms): 88.1, 95th(ms): 117.4, 99th(ms): 218.1, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.2, Count: 21, TPM: 136.3, Sum(ms): 88.2, Avg(ms): 4.2, 50th(ms): 4.2, 90th(ms): 6.3, 95th(ms): 6.8, 99th(ms): 6.8, 99.9th(ms): 6.8, Max(ms): 6.8
[Current] DELIVERY - Takes(s): 10.0, Count: 20, TPM: 120.2, Sum(ms): 8293.1, Avg(ms): 414.0, 50th(ms): 352.3, 90th(ms): 570.4, 95th(ms): 704.6, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 187, TPM: 1124.9, Sum(ms): 15525.4, Avg(ms): 83.1, 50th(ms): 65.0, 90th(ms): 142.6, 95th(ms): 201.3, 99th(ms): 318.8, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 15, TPM: 94.7, Sum(ms): 44.2, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 198, TPM: 1189.7, Sum(ms): 16488.2, Avg(ms): 83.4, 50th(ms): 71.3, 90th(ms): 109.1, 95th(ms): 201.3, 99th(ms): 318.8, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 15, TPM: 93.5, Sum(ms): 60.2, Avg(ms): 4.0, 50th(ms): 4.2, 90th(ms): 6.3, 95th(ms): 6.3, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.2, Count: 17, TPM: 111.1, Sum(ms): 7334.8, Avg(ms): 433.2, 50th(ms): 469.8, 90th(ms): 604.0, 95th(ms): 604.0, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 203, TPM: 1218.2, Sum(ms): 15989.0, Avg(ms): 78.8, 50th(ms): 65.0, 90th(ms): 113.2, 95th(ms): 201.3, 99th(ms): 285.2, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 33, TPM: 199.4, Sum(ms): 95.7, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 9.9, Count: 203, TPM: 1224.8, Sum(ms): 16485.3, Avg(ms): 81.1, 50th(ms): 71.3, 90th(ms): 109.1, 95th(ms): 192.9, 99th(ms): 302.0, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 17, TPM: 102.7, Sum(ms): 69.7, Avg(ms): 4.1, 50th(ms): 4.2, 90th(ms): 5.8, 95th(ms): 6.3, 99th(ms): 7.3, 99.9th(ms): 7.3, Max(ms): 7.3
[Current] DELIVERY - Takes(s): 8.8, Count: 22, TPM: 149.8, Sum(ms): 8535.0, Avg(ms): 387.8, 50th(ms): 352.3, 90th(ms): 503.3, 95th(ms): 520.1, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 187, TPM: 1126.5, Sum(ms): 14330.2, Avg(ms): 76.7, 50th(ms): 65.0, 90th(ms): 92.3, 95th(ms): 201.3, 99th(ms): 243.3, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 15, TPM: 92.4, Sum(ms): 44.1, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 9.9, Count: 187, TPM: 1129.4, Sum(ms): 16671.3, Avg(ms): 89.2, 50th(ms): 67.1, 90th(ms): 121.6, 95th(ms): 251.7, 99th(ms): 453.0, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 15, TPM: 94.5, Sum(ms): 57.1, Avg(ms): 3.8, 50th(ms): 4.2, 90th(ms): 4.7, 95th(ms): 4.7, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] DELIVERY - Takes(s): 9.5, Count: 14, TPM: 88.7, Sum(ms): 5729.7, Avg(ms): 408.6, 50th(ms): 369.1, 90th(ms): 570.4, 95th(ms): 570.4, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 9.9, Count: 222, TPM: 1347.3, Sum(ms): 16130.8, Avg(ms): 72.7, 50th(ms): 65.0, 90th(ms): 79.7, 95th(ms): 134.2, 99th(ms): 260.0, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 14, TPM: 90.0, Sum(ms): 39.0, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 9.8, Count: 227, TPM: 1388.5, Sum(ms): 18264.2, Avg(ms): 80.5, 50th(ms): 71.3, 90th(ms): 125.8, 95th(ms): 176.2, 99th(ms): 218.1, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 18, TPM: 112.6, Sum(ms): 65.0, Avg(ms): 3.6, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 4.7, 99th(ms): 5.8, 99.9th(ms): 5.8, Max(ms): 5.8
[Current] DELIVERY - Takes(s): 8.9, Count: 17, TPM: 114.0, Sum(ms): 6929.0, Avg(ms): 407.6, 50th(ms): 369.1, 90th(ms): 520.1, 95th(ms): 536.9, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 205, TPM: 1234.9, Sum(ms): 16632.5, Avg(ms): 81.3, 50th(ms): 65.0, 90th(ms): 151.0, 95th(ms): 209.7, 99th(ms): 226.5, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 18, TPM: 113.3, Sum(ms): 51.0, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 191, TPM: 1147.0, Sum(ms): 16233.0, Avg(ms): 85.1, 50th(ms): 71.3, 90th(ms): 125.8, 95th(ms): 218.1, 99th(ms): 226.5, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 13, TPM: 78.4, Sum(ms): 57.2, Avg(ms): 4.3, 50th(ms): 3.7, 90th(ms): 6.8, 95th(ms): 6.8, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] DELIVERY - Takes(s): 9.8, Count: 16, TPM: 98.1, Sum(ms): 6317.5, Avg(ms): 393.7, 50th(ms): 352.3, 90th(ms): 436.2, 95th(ms): 453.0, 99th(ms): 805.3, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 178, TPM: 1070.1, Sum(ms): 14640.5, Avg(ms): 82.2, 50th(ms): 65.0, 90th(ms): 125.8, 95th(ms): 167.8, 99th(ms): 369.1, 99.9th(ms): 486.5, Max(ms): 486.5
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 21, TPM: 135.1, Sum(ms): 59.6, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 218, TPM: 1313.1, Sum(ms): 19061.5, Avg(ms): 87.6, 50th(ms): 71.3, 90th(ms): 151.0, 95th(ms): 184.5, 99th(ms): 335.5, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 12, TPM: 72.2, Sum(ms): 41.7, Avg(ms): 3.5, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] DELIVERY - Takes(s): 9.7, Count: 18, TPM: 111.4, Sum(ms): 7338.3, Avg(ms): 409.6, 50th(ms): 369.1, 90th(ms): 570.4, 95th(ms): 671.1, 99th(ms): 671.1, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 207, TPM: 1244.8, Sum(ms): 16706.0, Avg(ms): 80.9, 50th(ms): 67.1, 90th(ms): 117.4, 95th(ms): 176.2, 99th(ms): 385.9, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 18, TPM: 113.1, Sum(ms): 52.1, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 9.9, Count: 200, TPM: 1207.8, Sum(ms): 15797.1, Avg(ms): 78.9, 50th(ms): 71.3, 90th(ms): 109.1, 95th(ms): 151.0, 99th(ms): 226.5, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 18, TPM: 114.8, Sum(ms): 73.3, Avg(ms): 4.0, 50th(ms): 4.2, 90th(ms): 5.8, 95th(ms): 6.3, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.7, Count: 19, TPM: 117.9, Sum(ms): 6948.2, Avg(ms): 366.0, 50th(ms): 369.1, 90th(ms): 436.2, 95th(ms): 436.2, 99th(ms): 536.9, 99.9th(ms): 536.9, Max(ms): 536.9
[Current] NEW_ORDER - Takes(s): 9.9, Count: 218, TPM: 1324.9, Sum(ms): 15808.4, Avg(ms): 72.6, 50th(ms): 65.0, 90th(ms): 88.1, 95th(ms): 125.8, 99th(ms): 251.7, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 20, TPM: 125.8, Sum(ms): 54.5, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 10.0, Count: 214, TPM: 1285.1, Sum(ms): 16332.3, Avg(ms): 76.4, 50th(ms): 71.3, 90th(ms): 88.1, 95th(ms): 117.4, 99th(ms): 251.7, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 19, TPM: 117.8, Sum(ms): 70.1, Avg(ms): 3.7, 50th(ms): 4.2, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] DELIVERY - Takes(s): 9.6, Count: 17, TPM: 105.8, Sum(ms): 6771.4, Avg(ms): 400.7, 50th(ms): 352.3, 90th(ms): 570.4, 95th(ms): 604.0, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 9.8, Count: 202, TPM: 1238.3, Sum(ms): 15876.7, Avg(ms): 78.6, 50th(ms): 65.0, 90th(ms): 117.4, 95th(ms): 142.6, 99th(ms): 285.2, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] ORDER_STATUS - Takes(s): 9.1, Count: 24, TPM: 158.4, Sum(ms): 64.2, Avg(ms): 2.7, 50th(ms): 2.6, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] PAYMENT - Takes(s): 10.0, Count: 204, TPM: 1224.5, Sum(ms): 17895.9, Avg(ms): 87.8, 50th(ms): 71.3, 90th(ms): 121.6, 95th(ms): 268.4, 99th(ms): 335.5, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] STOCK_LEVEL - Takes(s): 8.9, Count: 14, TPM: 94.2, Sum(ms): 55.5, Avg(ms): 4.0, 50th(ms): 4.2, 90th(ms): 4.7, 95th(ms): 4.7, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.7, Count: 18, TPM: 111.0, Sum(ms): 7162.0, Avg(ms): 397.1, 50th(ms): 369.1, 90th(ms): 520.1, 95th(ms): 570.4, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] NEW_ORDER - Takes(s): 9.9, Count: 219, TPM: 1321.4, Sum(ms): 16257.9, Avg(ms): 74.3, 50th(ms): 67.1, 90th(ms): 100.7, 95th(ms): 130.0, 99th(ms): 176.2, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 14, TPM: 84.1, Sum(ms): 41.0, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 214, TPM: 1285.0, Sum(ms): 16314.8, Avg(ms): 76.4, 50th(ms): 71.3, 90th(ms): 104.9, 95th(ms): 121.6, 99th(ms): 159.4, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 19, TPM: 116.1, Sum(ms): 80.6, Avg(ms): 4.3, 50th(ms): 4.2, 90th(ms): 6.3, 95th(ms): 6.3, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 8.8, Count: 18, TPM: 123.1, Sum(ms): 6932.3, Avg(ms): 384.5, 50th(ms): 352.3, 90th(ms): 402.7, 95th(ms): 520.1, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 209, TPM: 1258.7, Sum(ms): 15685.2, Avg(ms): 75.0, 50th(ms): 67.1, 90th(ms): 83.9, 95th(ms): 142.6, 99th(ms): 285.2, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 30, TPM: 192.1, Sum(ms): 90.1, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 199, TPM: 1196.6, Sum(ms): 17301.7, Avg(ms): 86.8, 50th(ms): 71.3, 90th(ms): 117.4, 95th(ms): 176.2, 99th(ms): 285.2, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] STOCK_LEVEL - Takes(s): 8.8, Count: 14, TPM: 95.0, Sum(ms): 57.0, Avg(ms): 4.1, 50th(ms): 4.2, 90th(ms): 5.8, 95th(ms): 5.8, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.4, Count: 17, TPM: 108.9, Sum(ms): 7207.0, Avg(ms): 422.4, 50th(ms): 385.9, 90th(ms): 570.4, 95th(ms): 704.6, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
